Term	Description	p.Val	FDR	Phenotype	Gene_Hits	Gene_Total	Gene_Ratio	NES	Ionization
D-<I>MYO</I>-INOSITOL (1,4,5)-TRISPHOSPHATE DEGRADATION	D-<I>MYO</I>-INOSITOL (1,4,5)-TRISPHOSPHATE DEGRADATION	0.8953	0.9695	-1	1	6	0.166666666666667	-0.7474	positive
<I>MYO</I>-INOSITOL BIOSYNTHESIS	<I>MYO</I>-INOSITOL BIOSYNTHESIS	0.8953	0.9695	-1	1	5	0.2	-0.7474	positive
<I>N</I>-ACETYLGLUCOSAMINE DEGRADATION I	<I>N</I>-ACETYLGLUCOSAMINE DEGRADATION I	0.8953	0.9695	-1	1	7	0.142857142857143	-0.7474	positive
METHYLGLYOXAL DEGRADATION I	METHYLGLYOXAL DEGRADATION I	0.8981	0.9695	-1	3	9	0.333333333333333	-0.6165	positive
GLYCINE CLEAVAGE	GLYCINE CLEAVAGE	0.8919	0.9695	-1	2	11	0.181818181818182	-0.6599	positive
FORMALDEHYDE OXIDATION II (GLUTATHIONE-DEPENDENT)	FORMALDEHYDE OXIDATION II (GLUTATHIONE-DEPENDENT)	0.8661	0.9695	+1	2	9	0.222222222222222	0.7353	positive
PENTOSE PHOSPHATE PATHWAY (NON-OXIDATIVE BRANCH)	PENTOSE PHOSPHATE PATHWAY (NON-OXIDATIVE BRANCH)	0.8953	0.9695	-1	1	7	0.142857142857143	-0.7474	positive
SPHINGOSINE AND SPHINGOSINE-1-PHOSPHATE METABOLISM	SPHINGOSINE AND SPHINGOSINE-1-PHOSPHATE METABOLISM	0.9057	0.9722	-1	2	14	0.142857142857143	-0.6394	positive
THREONINE DEGRADATION II	THREONINE DEGRADATION II	0.9136	0.9751	-1	2	8	0.25	-0.6319	positive
ALL-<I>TRANS</I>-DECAPRENYL DIPHOSPHATE BIOSYNTHESIS	ALL-<I>TRANS</I>-DECAPRENYL DIPHOSPHATE BIOSYNTHESIS	0.945	0.9888	-1	2	4	0.5	-0.5796	positive
RETINOL BIOSYNTHESIS	RETINOL BIOSYNTHESIS	0.969	0.9888	-1	1	17	0.0588235294117647	-0.6852	positive
RETINOATE BIOSYNTHESIS I	RETINOATE BIOSYNTHESIS I	0.969	0.9888	-1	1	11	0.0909090909090909	-0.6852	positive
RETINOATE BIOSYNTHESIS II	RETINOATE BIOSYNTHESIS II	0.969	0.9888	-1	1	10	0.1	-0.6852	positive
PYRIDOXAL 5'-PHOSPHATE SALVAGE PATHWAY	PYRIDOXAL 5'-PHOSPHATE SALVAGE PATHWAY	0.9568	0.9888	-1	2	13	0.153846153846154	-0.5514	positive
OLEATE BIOSYNTHESIS II (ANIMALS)	OLEATE BIOSYNTHESIS II (ANIMALS)	0.9691	0.9888	+1	1	9	0.111111111111111	0.6977	positive
MORPHINE BIOSYNTHESIS	MORPHINE BIOSYNTHESIS	0.9368	0.9888	+1	8	27	0.296296296296296	0.5844	positive
TYROSINE DEGRADATION I	TYROSINE DEGRADATION I	0.9784	0.9888	-1	2	13	0.153846153846154	-0.4881	positive
ANANDAMIDE DEGRADATION	ANANDAMIDE DEGRADATION	0.9733	0.9888	+1	1	4	0.25	0.6942	positive
THYMINE DEGRADATION	THYMINE DEGRADATION	0.9411	0.9888	-1	2	10	0.2	-0.5887	positive
PROLINE BIOSYNTHESIS I	PROLINE BIOSYNTHESIS I	0.9882	0.9934	-1	2	14	0.142857142857143	-0.4497	positive
PREGNENOLONE BIOSYNTHESIS	PREGNENOLONE BIOSYNTHESIS	0.9961	0.9961	-1	1	9	0.111111111111111	-0.6679	positive
